dimuon_eta_1,dimuon_eta_2,dimuon_inv_m,dimuon_phi_1,dimuon_phi_2,dimuon_pt_1,dimuon_pt_2,dimuon_sys_pt,higgs_eta,higgs_phi,higgs_pt
0.689013719559,-2.91667771339,124.99922963,2.48197340965,-1.23245322704,32.2065811157,12.5961608887,22.6734897276,-2.109197855,2.78783464432,22.6734886169
1.33311808109,0.303767055273,125.002319958,2.67548513412,-1.16088581085,103.657875061,32.121307373,81.6157107122,0.941070079803,-1.41559922695,81.6157073975
1.59908223152,1.31069469452,125.00158667,1.08634793758,-1.72831070423,69.8484268188,56.2379341125,24.5230641565,3.03151321411,-0.900485694408,24.523059845
0.364482402802,-1.73115837574,125.000220138,-2.46952581406,-2.88768696785,123.790893555,19.6423282623,141.965039075,-0.0534919723868,-2.52574086189,141.965042114
2.52773356438,-2.08627557755,125.00093143,2.00284337997,-2.72399353981,27.8248596191,5.56717443466,28.4550914402,-1.70509898663,-2.92089056969,28.4550895691
0.310395687819,-0.230366319418,125.001416705,1.79746186733,-1.79764616489,74.5611801147,51.1449508667,36.3221665289,0.314965754747,-2.46247553825,36.3221702576
0.989864587784,0.298698753119,125.001058658,1.79828464985,-1.18429934978,63.1980323792,55.289150238,12.2764019723,2.69041752815,1.00435709953,12.2764034271
1.2116818428,-0.855373620987,124.996570801,2.86556267738,2.31587743759,89.8847732544,27.4919681549,114.233341269,-0.380541682243,2.44193911552,114.233337402
1.43487632275,-0.563760459423,124.998138137,-0.788915753365,-2.5703997612,78.7396774292,25.0141544342,77.4714630135,1.36063563824,-2.24916100502,77.4714584351
-1.1768424511,-2.35695195198,125.0044628,1.56601727009,-2.14436507225,105.878623962,28.1270122528,83.5648259198,-1.99842536449,1.74831652641,83.5648269653
0.257969349623,-0.271377414465,124.99992279,2.14709973335,-1.09038484097,64.4424285889,56.6818122864,9.68447671935,0.127437114716,-1.68523097038,9.68447494507
1.00213158131,0.0423934496939,125.003010263,0.844657063484,-1.59906578064,72.1855926514,47.8225822449,46.9858577741,1.37623143196,-0.886165976524,46.9858551025
-0.690678834915,-3.03660178185,125.001146533,2.46098899841,-0.584797799587,42.2795600891,29.4957675934,13.2235826792,-4.24572277069,2.24596333504,13.2235822678
0.977068483829,0.400234252214,124.997497558,0.059697996825,-2.886739254,62.0826568604,58.472076416,12.2822137762,2.7410826683,-1.11660730839,12.2822132111
