delta_R,m_mu_mu
[ 3.29609229],[ 124.05798982]
[ 2.93394687],[ 33.95878231]
[ 4.20381447],[ 124.51964724]
[ 3.44218307],[ 120.49919773]
[ 3.49777256],[ 25.63664636]
[ 3.85504253],[ 126.09611278]
[ 3.74165747],[ 33.23485818]
[ 4.11227253],[ 122.34146282]
[ 2.71948425],[ 121.56176844]
[ 2.89840344],[ 121.59290435]
[ 3.68477528],[ 20.27005135]
[ 3.3549016],[ 126.06078059]
[ 2.90485743],[ 27.02607544]
[ 3.38360148],[ 121.51482812]
[ 4.04060705],[ 2.49763177]
[ 3.75173959],[ 20.8860787]
[ 3.23116115],[ 128.93904141]
[ 4.13645893],[ 9.94012242]
[ 3.34200703],[ 123.77741961]
[ 4.31391456],[ 31.16238461]
[ 2.37154855],[ 125.73514022]
[ 3.56051357],[ 79.49886702]
[ 2.73278222],[ 120.99754035]
[ 3.54372491],[ 124.08943682]
[ 4.3213807],[ 40.413344]
[ 3.66605338],[ 125.59624458]
[ 2.80344547],[ 42.31457156]
[ 1.48010139],[ 124.1133949]
[ 2.9650195],[ 36.27528915]
[ 1.88061872],[ 102.85512336]
[ 3.06213306],[ 3.09505363]
[ 2.79266338],[ 122.34422502]
[ 3.47064681],[ 40.94317169]
[ 2.92014305],[ 124.65277757]
[ 3.69801734],[ 125.57398999]
[ 4.29123159],[ 7.63357838]
[ 2.9575969],[ 3.14049719]
[ 4.48906089],[ 127.43967554]
[ 3.79845035],[ 37.67942926]
[ 3.68981145],[ 124.87618543]
[ 4.00460762],[ 37.47257769]
[ 3.55668571],[ 2.4080318]
[ 3.14721001],[ 33.21285709]
[ 3.23057272],[ 123.90826899]
[ 2.71827695],[ 20.64842345]
[ 2.69451392],[ 3.43150238]
[ 4.44708042],[ 9.68050374]
[ 3.20931887],[ 124.73509936]
[ 2.99261855],[ 31.48307727]
[ 3.53987064],[ 124.41074196]
[ 3.23128265],[ 126.06114353]
[ 3.53667839],[ 15.37885322]
[ 3.1137759],[ 123.28935658]
[ 3.60224013],[ 30.5279764]
[ 3.17788224],[ 120.2248991]
[ 1.01019884],[ 123.61856339]
[ 3.55722333],[ 124.83152565]
[ 2.15980478],[ 123.33074087]
[ 3.08218999],[ 124.55768451]
[ 2.92859827],[ 124.91639358]
[ 3.08011295],[ 123.47860552]
[ 3.3140199],[ 125.23868097]
[ 3.16729807],[ 72.39852669]
[ 1.73434831],[ 22.12354852]
[ 3.05144543],[ 126.51112277]
[ 3.01079186],[ 118.33713298]
[ 3.52537632],[ 123.38901538]
[ 4.0192988],[ 126.4779844]
[ 3.04433857],[ 124.22544189]
[ 1.59333705],[ 125.12303491]
[ 3.05212688],[ 124.9123229]
[ 3.06928643],[ 125.48719168]
[ 2.5002522],[ 20.3817742]
[ 3.43159374],[ 16.49038216]
[ 4.76141031],[ 124.32487563]
[ 2.81434264],[ 30.19674826]
[ 3.32667489],[ 124.53539133]
[ 2.6878085],[ 7.79787826]
[ 1.66857181],[ 25.88826844]
[ 3.8652392],[ 6.27337864]
[ 3.03766403],[ 71.45318706]
[ 3.23191094],[ 8.89031209]
[ 2.99524223],[ 124.17006767]
[ 3.07255482],[ 124.32068127]
[ 2.84715928],[ 121.89837534]
[ 3.43214726],[ 91.11383426]
[ 3.89067586],[ 125.75552524]
[ 4.03996782],[ 124.20901776]
[ 2.56371531],[ 118.07762816]
[ 2.28032802],[ 127.14566473]
[ 2.86426783],[ 120.69782574]
[ 3.37857101],[ 124.01090223]
[ 3.518229],[ 121.63237552]
[ 3.74428138],[ 5.49714965]
[ 2.7689934],[ 26.80567755]
[ 4.29103521],[ 8.38208162]
[ 5.0109868],[ 124.81254653]
[ 3.61729487],[ 6.59774702]
[ 3.81935782],[ 1.99307329]
[ 4.18713372],[ 7.24252517]
[ 4.32137394],[ 124.04236417]
[ 2.66977135],[ 110.98607533]
[ 2.25651185],[ 124.25251949]
[ 0.91468003],[ 122.21750407]
[ 3.94555963],[ 6.64447945]
[ 3.43066969],[ 125.18015205]
[ 2.69679056],[ 124.48300028]
[ 3.4133755],[ 124.84874499]
[ 2.78931685],[ 122.72573797]
[ 3.41061355],[ 125.6604452]
[ 3.22892605],[ 118.09917144]
[ 3.23534312],[ 123.42742358]
[ 4.72243547],[ 1.95552328]
[ 2.73911944],[ 122.80159831]
[ 2.91683797],[ 21.57442817]
[ 3.48824711],[ 54.00281775]
[ 4.39369448],[ 126.5589868]
[ 3.86733639],[ 123.52352654]
[ 3.13637403],[ 120.0187267]
[ 3.51287423],[ 122.18069837]
[ 3.79617748],[ 5.57882925]
[ 3.57052859],[ 39.44030028]
[ 4.39672637],[ 79.00931769]
[ 2.12360319],[ 123.28868956]
[ 3.28750676],[ 124.41122915]
[ 3.46891943],[ 125.63953455]
[ 2.79971287],[ 125.86917899]
[ 3.30514367],[ 123.31096657]
[ 2.85222876],[ 124.92642134]
[ 1.5165923],[ 2.01353889]
[ 3.26930375],[ 125.65840521]
[ 3.81196151],[ 124.01198846]
[ 1.55504373],[ 126.50639888]
[ 3.65162601],[ 127.75936731]
[ 3.17259299],[ 116.54661861]
[ 4.45078414],[ 122.98597267]
[ 3.52997673],[ 118.1075687]
[ 3.65870795],[ 125.64309566]
[ 4.22318675],[ 2.30107768]
[ 3.35011512],[ 100.57922888]
[ 3.23109815],[ 123.35423328]
[ 3.6530356],[ 6.30242815]
[ 3.63758075],[ 125.12127]
[ 3.12666815],[ 123.89129911]
[ 2.76881705],[ 122.07208953]
[ 3.23363281],[ 120.0225427]
[ 5.12114219],[ 120.34849153]
[ 3.36085171],[ 22.40618111]
[ 3.6392581],[ 65.98576098]
[ 3.16802566],[ 1.9657083]
[ 3.63001342],[ 124.46059162]
[ 3.12912797],[ 2.15553425]
[ 2.93155994],[ 118.28694222]
[ 3.16485025],[ 123.29324034]
[ 4.48867995],[ 14.72076378]
[ 3.00336124],[ 124.82238671]
[ 3.46863174],[ 123.75508902]
[ 1.21689078],[ 123.29304187]
[ 2.67621182],[ 2.90161657]
[ 2.28288071],[ 125.80056049]
[ 2.75034143],[ 3.08847833]
[ 3.22623923],[ 123.18486468]
[ 3.13006096],[ 31.03363113]
[ 3.08806626],[ 126.0628288]
[ 3.468879],[ 9.04313513]
